,Id,Symbol,Name,Image,Current_Price,Market_Cap,Market_Cap_Rank,Fully_Diluted_Valuation,Total_Volume,High_24H,Low_24H,Price_Change_24H,Price_Change_Percentage_24H,Market_Cap_Change_24H,Market_Cap_Change_Percentage_24H,Circulating_Supply,Total_Supply,Max_Supply,Ath,Ath_Change_Percentage,Ath_Date,Atl,Atl_Change_Percentage,Atl_Date,Roi,Last_Updated,MarketID
34,avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,34.67,4474147003,35,25057918850.0,430264088.0,35.35,31.44,2.91,9.16016,388285936.0,9.50316,128557597.360992,377752194.4695483,720000000.0,59.4,-41.41394,2021-02-10T22:23:34.616Z,2.8,1142.4616,2020-12-31T13:15:21.540Z,,2021-04-12T21:25:32.985Z,8
35,neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,63.17,4462786888,36,,1090689583.0,64.51,61.07,-0.67871437,-1.06308,-46012820.19777203,-1.02051,70530000.0,100000000.0,,198.38,-68.10436,2018-01-15T00:00:00.000Z,0.078349,80660.05194,2016-10-21T00:00:00.000Z,"{'times': 1753.5983717461284, 'currency': 'usd', 'percentage': 175359.83717461283}",2021-04-12T21:25:03.706Z,67
36,algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.47,4026602987,37,14778143495.0,661290093.0,1.59,1.45,-0.03778966,-2.5066,-13259031.18122101,-0.32821,2724701508.28111,10000000000.0,10000000000.0,3.56,-58.50182,2019-06-20T14:51:19.480Z,0.105336,1302.95933,2020-03-13T02:20:48.438Z,"{'times': -0.38757589594629294, 'currency': 'usd', 'percentage': -38.757589594629295}",2021-04-12T21:23:54.085Z,3
37,huobi-token,ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,21.83,3986391850,38,10902060864.0,4756412584.0,22.48,19.71,2.07,10.46444,373557855.0,10.33975,182827444.25441208,500000000.0,500000000.0,26.75,-18.48283,2021-02-20T00:07:23.060Z,0.90862,2299.69686,2019-01-30T00:00:00.000Z,"{'times': 21.05077787034992, 'currency': 'usd', 'percentage': 2105.077787034992}",2021-04-12T21:23:31.170Z,52
38,pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/IMG_0440.PNG?1602654093,26.45,3970986095,39,,1508499625.0,27.65,24.54,1.27,5.05858,97635918.0,2.52071,149936341.861166,,,27.65,-4.21685,2021-04-12T09:35:11.851Z,0.194441,13520.86387,2020-11-03T14:29:34.165Z,,2021-04-12T21:25:21.621Z,18
39,nem,xem,NEM,https://assets.coingecko.com/coins/images/242/large/NEM_Logo_256x256.png?1598687029,0.414726,3951857103,40,,265164659.0,0.479581,0.412794,-0.06403023,-13.37427,-329311670.7248597,-7.6921,8999999999.0,8999999999.0,,1.87,-76.50061,2018-01-07T00:00:00.000Z,8.482e-05,517599.02476,2015-09-05T00:00:00.000Z,,2021-04-12T21:24:56.852Z,98
40,elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/Elrond.png?1599132180,220.64,3886966817,41,,425623058.0,243.92,217.47,-14.33518876,-6.10063,-209653817.51198196,-5.11773,17495268.0,20397843.0,,243.92,-8.91652,2021-04-12T02:24:35.343Z,6.51,3314.54007,2020-10-07T01:44:53.554Z,,2021-04-12T21:24:44.304Z,35
41,kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,430.14,3870687802,42,4310295689.0,321288752.0,447.67,411.04,-12.41015504,-2.80423,-101006474.82382011,-2.54316,8980098.074112339,10000000.0,10000000.0,566.41,-23.90172,2021-03-29T12:24:40.358Z,0.876572,49072.16245,2020-01-14T19:20:20.768Z,,2021-04-12T21:24:58.189Z,57
42,cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02130983,3443443336,43,,0.0,0.02151501,0.02110837,-4.95e-05,-0.23175,36261192.0,1.06426,161589413798.358,161589413798.358,,0.03159087,-32.54432,2020-10-12T21:29:00.007Z,0.00728854,192.37435,2020-03-18T04:29:40.819Z,,2021-04-12T21:24:00.379Z,19
43,holotoken,hot,Holo,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966,0.01923614,3420301797,44,,857507661.0,0.02170884,0.01894085,-0.00057345,-2.89483,-94557547.5787182,-2.69022,177619433541.141,177619433541.141,,0.03126682,-38.41284,2021-04-05T16:04:52.608Z,0.0002202,8644.98009,2020-03-13T02:23:01.612Z,"{'times': 38.487575663856845, 'currency': 'eth', 'percentage': 3848.757566385684}",2021-04-12T21:23:18.046Z,51
44,compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02186382,3384870523,45,,184259769.0,0.02223076,0.0216664,-4.904e-05,-0.22378,197085932.0,6.18254,154756709662.484,154756709662.484,,0.058843,-62.82982,2020-10-21T11:24:27.820Z,0.00620705,252.37657,2021-03-04T08:11:37.438Z,,2021-04-12T21:24:00.577Z,26
45,dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/dai-multi-collateral-mcd.png?1574218774,1.0,3127399198,46,3127399198.0,283121728.0,1.01,0.994568,-0.0002037,-0.02036,-6023917.26544523,-0.19225,3126053488.36588,3126053488.36588,3126053488.36588,1.22,-17.92555,2020-03-13T03:02:50.373Z,0.903243,10.75983,2019-11-25T00:04:18.137Z,,2021-04-12T21:06:43.343Z,27
46,havven,snx,Synthetix Network Token,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139,19.78,3008156079,47,4433244696.0,167721234.0,19.88,18.69,0.754376,3.96545,126243114.0,4.38053,151285211.798838,222955307.260897,222955307.260897,28.53,-30.3105,2021-02-14T01:12:38.505Z,0.0347864,57060.29158,2019-01-06T00:00:00.000Z,"{'times': 38.55617241930446, 'currency': 'usd', 'percentage': 3855.617241930446}",2021-04-12T21:25:15.114Z,81
47,enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,3.02,2820856888,48,3019175162.0,499195362.0,3.18,2.93,-0.1567129,-4.93862,-154464023.146503,-5.19151,934313756.7192237,1000000000.0,1000000000.0,3.94,-23.42546,2021-04-09T12:29:27.777Z,0.01865964,16080.24089,2017-11-12T00:00:00.000Z,,2021-04-12T21:25:03.240Z,36
48,dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,278.26,2810985486,49,,1325125454.0,296.6,275.95,-3.22613303,-1.14609,-10504318.39046621,-0.3723,10074962.6071329,18920000.0,,1493.59,-81.32683,2017-12-20T00:00:00.000Z,0.213899,130288.99085,2014-02-14T00:00:00.000Z,,2021-04-12T21:25:32.636Z,28
49,chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,0.522866,2781821205,50,,1410290803.0,0.531729,0.462078,0.050005,10.57497,259143756.0,10.27257,5344064580.0,8888888888.0,,0.878633,-40.72436,2021-03-13T08:04:21.200Z,0.00410887,12575.38166,2019-09-28T00:00:00.000Z,"{'times': 22.766628960585336, 'currency': 'usd', 'percentage': 2276.6628960585335}",2021-04-12T21:25:21.101Z,22
50,hedera-hashgraph,hbar,Hedera Hashgraph,https://assets.coingecko.com/coins/images/3688/large/mqTDGK7Q.png?1566256777,0.347412,2753869427,51,,189780755.0,0.374026,0.33248,-0.02661441,-7.11566,-214798708.45885944,-7.23552,7916862749.0,50000000000.0,,0.448365,-22.41846,2021-03-15T01:53:34.974Z,0.00986111,3427.47875,2020-01-02T17:30:24.852Z,,2021-04-12T21:24:26.121Z,48
51,thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,11.78,2731782381,52,5891887010.0,185771937.0,11.82,10.67,0.576202,5.1435,136325674.0,5.25247,231825761.0976,500000000.0,500000000.0,12.8,-7.94913,2021-04-10T04:24:14.275Z,0.00851264,138326.80977,2019-09-28T00:00:00.000Z,"{'times': 308.9661573965542, 'currency': 'usd', 'percentage': 30896.615739655423}",2021-04-12T21:24:38.895Z,78
52,celsius-degree-token,cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,7.09,2720177839,53,,8939728.0,7.21,7.03,0.02039334,0.2883,8307053.0,0.30632,383306566.4471,695658160.9671,,7.96,-10.82324,2021-04-09T10:19:25.352Z,0.02620268,26983.53409,2018-12-07T00:00:00.000Z,"{'times': 22.646647243466184, 'currency': 'usd', 'percentage': 2264.664724346618}",2021-04-12T21:23:29.118Z,20
53,the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,2.08,2557649291,54,20878779301.0,990547636.0,2.14,1.84,0.228804,12.35236,288568722.0,12.71743,1224999438.0,10000000000.0,10000000000.0,2.84,-26.52179,2021-02-12T07:28:45.775Z,0.103254,1922.08173,2020-12-17T21:28:41.332Z,,2021-04-12T21:25:27.195Z,46
54,decred,dcr,Decred,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093,191.92,2460919269,55,,47086272.0,197.22,190.57,-3.24299227,-1.66168,-43650955.33765364,-1.74285,12813608.8271692,21000000.0,,197.79,-2.89713,2021-04-10T05:04:20.237Z,0.43154,44404.6458,2016-12-26T00:00:00.000Z,,2021-04-12T21:24:06.802Z,29
55,ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,19.27,2435627403,56,,1877753975.0,20.39,19.07,-0.84829475,-4.21606,97707415.0,4.17925,126198831.496415,210700000.0,,44.34,-56.47674,2018-01-14T00:00:00.000Z,0.615038,3038.00455,2016-07-25T00:00:00.000Z,"{'times': 41.82725677423051, 'currency': 'usd', 'percentage': 4182.725677423051}",2021-04-12T21:24:58.606Z,38
56,zcash,zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,220.22,2424762352,57,4635485510.0,2260599251.0,235.35,212.55,1.3,0.59606,40095655.0,1.68139,10984827.6482016,21000000.0,21000000.0,3191.93,-93.08452,2016-10-29T00:00:00.000Z,19.75,1017.45111,2020-03-13T02:20:55.002Z,,2021-04-12T21:25:28.232Z,104
57,maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,2644.77,2387352883,58,2662430411.0,295592520.0,2687.38,2259.0,367.27,16.12617,333923208.0,16.26173,901682.5903922713,995238.778286469,1005577.0,3036.21,-12.7972,2021-02-20T11:37:47.706Z,168.36,1472.64348,2020-03-16T20:52:36.527Z,,2021-04-12T21:24:23.470Z,65
58,zilliqa,zil,Zilliqa,https://assets.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1547036894,0.199709,2383676676,59,,206347498.0,0.20978,0.196148,-0.00640668,-3.1083,-72610967.68544006,-2.95613,11914505474.3805,21000000000.0,,0.230307,-13.13127,2018-05-10T02:56:14.058Z,0.00239616,8249.40528,2020-03-13T02:22:55.161Z,"{'times': 9.980880566136126, 'currency': 'eth', 'percentage': 998.0880566136126}",2021-04-12T21:25:01.767Z,105
59,sushi,sushi,Sushi,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688,16.14,2346964169,60,4050450348.0,1156910409.0,16.31,13.94,2.01,14.25985,305543962.0,14.96723,144858223.62353668,213548674.487412,250000000.0,23.38,-30.6917,2021-03-13T23:44:36.774Z,0.475381,3308.1751,2020-11-04T14:53:53.560Z,,2021-04-12T21:25:13.113Z,84
60,compound-governance-token,comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,463.16,2326451763,61,4624543033.0,149741950.0,465.93,436.37,5.92,1.29365,28174601.0,1.2259,5030663.022584354,10000000.0,10000000.0,566.46,-18.35039,2021-02-12T15:53:33.450Z,61.32,654.23877,2020-06-18T12:54:32.788Z,,2021-04-12T21:25:30.412Z,24
61,near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,6.62,2298820033,62,6614646649.0,148610158.0,7.32,6.61,-0.20195593,-2.96197,-63599327.43401719,-2.69213,347534820.0,1000000000.0,1000000000.0,7.56,-12.44897,2021-03-13T17:49:31.011Z,0.526762,1156.11044,2020-11-04T16:09:15.137Z,,2021-04-12T21:24:11.222Z,66
